,title,recipe_amount,recipe_link,recipe_image_link
179,Bulvių ir svogūnų apkepas su ančių taukais,4 asm.,https://www.15min.lt/maistas/receptas/bulviu-ir-svogunu-apkepas-su-anciu-taukais-7676,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDE1MTM4JmRhdGU9MjAxOSUyRjAxJTJGMDUsOTQ2MjcxMjkx/bulviu-ir-svogunu-apkepas-su-anciu-taukais-5c3111e34beef.jpg
180,Pikantiški sausainiai su medumi ir pipirais,6 asm.,https://www.15min.lt/maistas/receptas/pikantiski-sausainiai-su-medumi-ir-pipirais-7674,https://s1.15min.lt/static/cache/MjIweDIwMCwzMzl4NzE0LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQxNjE1MCZkYXRlPTIwMTklMkYwMSUyRjA2LDg3MTk0MTQ4Ng==/sausainiai-su-prieskoniais-5c326917312e8.jpg
181,Lietiniai blynai su šokoladu ir bananais,4 asm.,https://www.15min.lt/maistas/receptas/lietiniai-blynai-su-sokoladu-ir-bananais-7672,https://s1.15min.lt/static/cache/MjIweDIwMCw3MjZ4NTc2LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQxODQ4NiZkYXRlPTIwMTklMkYwMSUyRjA4LDE3NDIxNDQ2NjQ=/lietiniai-su-sokoladu-5c3460d1ebbf1.jpg
182,Labai paprastas ir skanus orkaitėje keptas vilkešeris,2 asm.,https://www.15min.lt/maistas/receptas/labai-paprastas-ir-skanus-orkaiteje-keptas-vilkeseris-7670,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDE4NjcyJmRhdGU9MjAxOSUyRjAxJTJGMDgsMjU0NzQ2OTU0MQ==/orkaiteje-keptas-vilkeseris-5c346599f096c.jpg
183,"Gražus, kvapnus ir drėgnas citrininis keksas su aguonomis",8 asm.,https://www.15min.lt/maistas/receptas/grazus-kvapnus-ir-dregnas-citrininis-keksas-su-aguonomis-7668,https://s1.15min.lt/static/cache/MjIweDIwMCw4OTF4NjM1LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQxODcxNCZkYXRlPTIwMTklMkYwMSUyRjA4LDE2MjMwODU1MDY=/citrininis-keksas-su-aguonomis-5c34699284fe7.jpg
184,Šveicariško morengo desertas su avietėmis,6 asm.,https://www.15min.lt/maistas/receptas/sveicarisko-morengo-desertas-su-avietemis-7666,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDI1MjE4JmRhdGU9MjAxOSUyRjAxJTJGMTEsMTI2MzAyODEwOQ==/sluoksniuotos-teslos-pyragas-su-vistiena-ir-pievagrybiais-5c384a49d9a58.jpg
185,Sluoksniuotos tešlos pyragas su vištiena ir pievagrybiais,6 asm.,https://www.15min.lt/maistas/receptas/sluoksniuotos-teslos-pyragas-su-vistiena-ir-pievagrybiais-7664,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDI1MjIwJmRhdGU9MjAxOSUyRjAxJTJGMTEsMTQ3MjM5MDA3NQ==/sluoksniuotos-teslos-pyragas-su-vistiena-ir-pievagrybiais-5c384a4a6ba9c.jpg
186,Skanieji avižiniai „Hobnobs“ sausainiai be pridėtinio cukraus,6 asm.,https://www.15min.lt/maistas/receptas/skanieji-aviziniai-hobnobs-sausainiai-be-pridetinio-cukraus-7662,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDI2MTUyJmRhdGU9MjAxOSUyRjAxJTJGMTEsNDE2MzEyODQ2Nw==/aviziniai-hobnobs-sausainiai-5c389dd14aa9e.jpg
187,Uzbekiška avienos sriuba su ryžiais „Mastava“,8 asm.,https://www.15min.lt/maistas/receptas/uzbekiska-avienos-sriuba-su-ryziais-mastava-7660,https://s1.15min.lt/static/cache/MjIweDIwMCw4MTd4NTk5LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQyMjg5MiZkYXRlPTIwMTklMkYwMSUyRjA5LDI2MzQ1NTIxMzU=/uzbekiska-sriuba-mastava-5c3651a43ec1f.jpg
188,Nekepti džiovintų vaisių saldukai,6 asm.,https://www.15min.lt/maistas/receptas/nekepti-dziovintu-vaisiu-saldukai-7658,https://s1.15min.lt/static/cache/MjIweDIwMCwzNTV4NTg4LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQyNjc1MCZkYXRlPTIwMTklMkYwMSUyRjExLDMzODU3NzgzOTE=/dziovintu-vaisiu-saldukai-5c38cecd1a568.jpg
189,Aguonų pyragas su mandarinais,6 asm.,https://www.15min.lt/maistas/receptas/aguonu-pyragas-su-mandarinais-7656,https://s1.15min.lt/static/cache/MjIweDIwMCw0NDB4NDY3LDYxNjE2MyxvcmlnaW5hbCwsaWQ9MzEyNjIzNCZkYXRlPTIwMTclMkYwNiUyRjEyLDE4NzgxODQ4MzA=/lietiniai-su-varske-ir-uogomis-593e947ee7cf8.jpg
190,Kalėdinis pyragas su džiovintais vaisiais,6 asm.,https://www.15min.lt/maistas/receptas/kaledinis-pyragas-su-dziovintais-vaisiais-7654,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD0zNTYxNDEwJmRhdGU9MjAxNyUyRjEyJTJGMTQsNjU0MDkzOTkx/pyragas-5a3271c01ebaa.jpg
191,Šaldytų uogų ir burokėlių kokteilis,2 asm.,https://www.15min.lt/maistas/receptas/saldytu-uogu-ir-burokeliu-kokteilis-7652,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD0zNTk4NzE4JmRhdGU9MjAxOCUyRjAxJTJGMDQsMTg1NTQ2MDU5OQ==/tirstasis-kokteilis-5a4e5dba59b24.jpg
192,Energijos suteikiantis obuolių kokteilis,1 asm.,https://www.15min.lt/maistas/receptas/energijos-suteikiantis-obuoliu-kokteilis-7650,https://s1.15min.lt/static/cache/MjIweDIwMCw5MzF4MzcyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9MzQ1NDUxNiZkYXRlPTIwMTclMkYxMCUyRjMxLDIzMDQ1MDkzOTk=/moteris-megaujasi-glotnuciu-59f87f29869da.jpg
193,Gaivus mėtinis gėrimas,2 asm.,https://www.15min.lt/maistas/receptas/gaivus-metinis-gerimas-7648,https://s1.15min.lt/static/cache/MjIweDIwMCw3MzF4MjI4LDYxNjE2MyxvcmlnaW5hbCwsaWQ9MzQ1NDUxNCZkYXRlPTIwMTclMkYxMCUyRjMxLDEwMzIwMjg2OTU=/moteris-megaujasi-glotnuciu-59f87f2908fd2.jpg
194,Žaliasis kivių kokteilis su špinatais,1 asm.,https://www.15min.lt/maistas/receptas/zaliasis-kiviu-kokteilis-su-spinatais-7646,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD0zNDE5Nzk4JmRhdGU9MjAxNyUyRjEwJTJGMTYsMjQ4NjA1MDM3OA==/glotnutis-59e4a68c94e29.jpg
195,Įdaryta vištos krūtinėlė su aštriais karamelizuotais obuoliais,4 asm.,https://www.15min.lt/maistas/receptas/idaryta-vistos-krutinele-su-astriais-karamelizuotais-obuoliais-7644,https://s1.15min.lt/static/cache/MjIweDIwMCw4OTZ4NTYwLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NDQwMjUyOCZkYXRlPTIwMTglMkYxMiUyRjI4LDQyNjUxMTExMjk=/idaryta-vistienos-krutinele-5c25ed09044b0.jpg
196,Šventinis riešutų vyniotinis su varške,10 asm.,https://www.15min.lt/maistas/receptas/sventinis-riesutu-vyniotinis-su-varske-7642,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDAzMTY4JmRhdGU9MjAxOCUyRjEyJTJGMjgsMzQxNzUzNjgzMg==/riesutu-vyniotinis-su-varske-5c26240a85109.jpg
197,Meksikietiškas Trijų Karalių pyragas „Rosca de reyes“,10 asm.,https://www.15min.lt/maistas/receptas/meksikietiskas-triju-karaliu-pyragas-rosca-de-reyes-7640,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00Mzc3Nzc0JmRhdGU9MjAxOCUyRjEyJTJGMTMsMzMwODMxOTE0OQ==/meksikietiskas-triju-karaliu-pyragas-5c12255543809.jpg
198,Kepti ankštiniai pipirai su brinzos sūriu,2 asm.,https://www.15min.lt/maistas/receptas/kepti-ankstiniai-pipirai-su-brinzos-suriu-7638,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD00NDAzNjM2JmRhdGU9MjAxOCUyRjEyJTJGMjgsNjI1NzQ0NTQy/ankstiniai-pipirai-su-brinza-5c26809b7ef3c.jpg
